timestamp,load (1m),load (5m),load (15m),cpu usr,cpu sys,cpu wait
2016-10-20 09:13:52,1.47,1.59,1.63,8.2%,23.0%,0.4%
2016-10-20 09:14:59,1.43,1.60,1.63,4.9%,12.3%,0.2%
2016-10-20 09:16:06,1.02,1.45,1.58,6.0%,13.3%,0.3%
2016-10-20 09:17:13,1.28,1.42,1.56,9.1%,24.2%,0.3%
2016-10-20 09:18:20,0.76,1.26,1.49,8.7%,21.8%,0.4%
2016-10-20 09:19:27,1.77,1.51,1.56,4.4%,11.6%,0.3%
2016-10-20 09:20:35,1.79,1.62,1.60,4.0%,11.8%,0.3%
2016-10-20 09:21:40,1.91,1.67,1.62,5.7%,12.2%,0.3%
2016-10-20 09:22:47,1.46,1.59,1.59,9.4%,26.0%,0.5%
2016-10-20 09:23:53,2.73,1.96,1.73,9.2%,23.7%,0.5%
2016-10-20 09:25:00,2.47,2.07,1.78,4.3%,12.0%,0.2%
2016-10-20 09:26:07,2.18,2.07,1.80,6.3%,14.5%,0.3%
2016-10-20 09:27:14,1.90,2.01,1.80,5.7%,12.0%,0.4%
2016-10-20 09:28:20,2.69,2.18,1.87,7.8%,22.3%,0.2%
2016-10-20 09:29:25,2.05,2.17,1.89,5.5%,14.6%,0.3%
2016-10-20 09:30:32,0.99,1.83,1.79,9.8%,15.4%,1.8%
2016-10-20 09:31:40,0.92,1.64,1.73,6.0%,11.2%,0.3%
2016-10-20 09:32:47,1.11,1.55,1.69,8.4%,25.1%,0.3%
2016-10-20 09:33:52,1.27,1.54,1.68,8.1%,20.5%,0.3%
2016-10-20 09:34:59,1.33,1.55,1.68,5.6%,14.1%,0.2%
2016-10-20 09:36:05,1.58,1.54,1.66,5.3%,11.2%,0.3%
2016-10-20 09:37:12,1.00,1.38,1.60,5.3%,10.9%,0.3%
2016-10-20 09:38:19,2.55,1.74,1.70,6.7%,18.9%,0.4%
2016-10-20 09:39:25,1.73,1.66,1.68,6.8%,16.3%,0.3%
2016-10-20 09:40:31,1.27,1.55,1.64,6.3%,15.0%,0.4%
2016-10-20 09:41:37,1.33,1.52,1.62,5.1%,10.7%,0.3%
2016-10-20 09:42:43,1.74,1.61,1.65,6.4%,14.8%,0.3%
2016-10-20 09:43:50,1.93,1.70,1.67,6.2%,17.9%,0.3%
2016-10-20 09:44:56,2.16,1.79,1.70,8.2%,17.6%,0.4%
2016-10-20 09:46:03,2.15,1.87,1.74,7.2%,17.1%,0.4%
2016-10-20 09:47:10,1.47,1.76,1.71,4.4%,9.6%,0.2%
2016-10-20 09:48:16,1.01,1.60,1.66,4.5%,10.1%,0.3%
2016-10-20 09:49:20,1.64,1.67,1.68,6.9%,20.4%,0.4%
2016-10-20 09:50:27,1.41,1.62,1.66,7.8%,16.8%,0.4%
2016-10-20 09:51:33,1.38,1.56,1.63,7.6%,19.2%,0.4%
2016-10-20 09:52:40,1.17,1.44,1.59,4.8%,10.9%,0.2%
2016-10-20 09:53:47,0.93,1.30,1.53,7.0%,17.5%,0.3%
2016-10-20 09:54:53,1.91,1.50,1.58,6.9%,19.2%,0.3%
2016-10-20 09:55:59,2.55,1.74,1.65,7.7%,17.4%,0.3%
2016-10-20 09:57:05,2.38,1.90,1.72,5.5%,12.7%,0.3%
2016-10-20 09:58:12,2.59,2.01,1.77,6.2%,16.2%,0.3%
2016-10-20 09:59:19,2.29,2.09,1.81,7.0%,21.9%,0.2%
2016-10-20 10:00:26,1.78,2.02,1.81,10.3%,17.4%,1.9%
2016-10-20 10:01:33,1.33,1.85,1.77,6.3%,16.0%,0.4%
2016-10-20 10:02:38,2.25,1.93,1.80,5.9%,12.8%,0.3%
2016-10-20 10:03:45,2.89,2.15,1.88,6.2%,17.1%,0.3%
2016-10-20 10:04:53,1.52,1.92,1.82,6.9%,21.5%,0.3%
2016-10-20 10:05:58,1.47,1.80,1.78,6.8%,16.7%,0.3%
2016-10-20 10:07:03,1.44,1.69,1.74,6.2%,15.4%,0.4%
2016-10-20 10:08:07,0.79,1.46,1.66,7.6%,16.4%,0.4%
2016-10-20 10:09:14,1.72,1.59,1.69,6.1%,17.3%,0.2%
2016-10-20 10:10:21,1.43,1.55,1.67,6.5%,18.9%,0.3%
2016-10-20 10:11:28,2.18,1.83,1.76,6.1%,14.1%,0.3%
2016-10-20 10:12:34,1.23,1.60,1.69,7.7%,16.9%,0.3%
2016-10-20 10:13:41,1.14,1.51,1.64,7.5%,15.5%,0.4%
2016-10-20 10:14:48,2.36,1.81,1.74,5.6%,16.1%,0.2%
2016-10-20 10:15:56,1.55,1.67,1.70,6.2%,15.4%,0.2%
2016-10-20 10:17:03,1.67,1.63,1.67,6.2%,15.2%,0.3%
2016-10-20 10:18:10,1.52,1.62,1.67,7.7%,17.4%,0.3%
2016-10-20 10:19:16,0.85,1.45,1.61,6.3%,18.9%,0.3%
